phrase,page_ids,unique_page_count,matched_forcekeys
I Want to Buy a Home with no Money,593450633843471,1,forcekeyB:i want to buy a home with no money
See how to Buy a House with no Money,593450633843471,1,forcekeyC:how to buy a house with no money|forcekeyE:see how to buy a house with no money
How to Buy a House with no Money,593450633843471,1,forcekeyC:how to buy a house with no money
I Want to Buy a House with no Money,593450633843471,1,forcekeyA:i want to buy a house with no money
Discover $299 Laser Eye Surgery Near Me,593450633843471,1,forcekeyA:$299 laser eye surgery near me|forcekeyD:discover $299 laser eye surgery near me|forcekeyE:$299 laser eye surgery
$299 Laser Eye Surgery,593450633843471,1,forcekeyE:$299 laser eye surgery
Find $299 Laser Eye Surgery Near Me,593450633843471,1,forcekeyA:$299 laser eye surgery near me|forcekeyC:find $299 laser eye surgery near me|forcekeyE:$299 laser eye surgery
See $299 Laser Eye Surgery Near Me,593450633843471,1,forcekeyA:$299 laser eye surgery near me|forcekeyB:see $299 laser eye surgery near me|forcekeyE:$299 laser eye surgery
$299 Laser Eye Surgery Near Me,593450633843471,1,forcekeyA:$299 laser eye surgery near me|forcekeyE:$299 laser eye surgery
Pet Insurance for Dogs ($10/month),593450633843471,1,forcekeyC:pet insurance for dogs ($10/month)|forcekeyD:pet insurance for dogs
Order New Smartphone 5g ($0 Google Pixel Pro Fold),593450633843471,1,forcekeyD:Order New Smartphone 5g ($0 Google Pixel Pro Fold)
Order $0 New Phone 5g (google Pixel Pro Fold),593450633843471,1,forcekeyC:Order $0 New Phone 5g (Google Pixel Pro Fold)
Order New Phone 5g ($0 Google Pixel Pro Fold),593450633843471,1,forcekeyA:Order New Phone 5g ($0 Google Pixel Pro Fold)
Order New Smartphone and Plan ($0 New Phone),593450633843471,1,forcekeyE:Order New Smartphone and Plan ($0 New Phone)
Order New Phone and Plan ($0 New Smartphone),593450633843471,1,forcekeyB:Order New Phone and Plan ($0 New Smartphone)
