competitor_id,pixel_ids,param_keys,widget_phrases,widget_forcekey_matches,ad_count
click_track_url|fbclick|fbid|forceKeyA|forceKeyB|forceKeyC|forceKeyD|forceKeyE|forceKeyF|headline|impression_track_url|nonrevsubid|s1padid|s1pagid|s1paid|s1particle|s1pcid|s1pplacement|search_track_url|segment|subid|utm_source, number of units,"""Explore Botox Consultation and Pricing Details 
 The cost of Botox may range depending on procedure type"," and provider. Treatment frequency also influences overall expense. Learn more about how pricing works. 
 advice4seek.com""",,1
" and provider. Treatment frequency also influences overall expense. Learn more about how pricing works.""", number of units," and provider. Treatment frequency also influences overall expense. Learn more about how pricing works. 
 The cost of Botox may range depending on procedure type"," and provider. Treatment frequency also influences overall expense. Learn more about how pricing works. 
 The cost of Botox may range depending on procedure type", number of units,1
Y2xpY2tfdHJh,,click_track_url|fbclick|fbid|forceKeyA|forceKeyB|forceKeyC|forceKeyD|forceKeyE|headline|impression_track_url|nonrevsubid|s1padid|s1pagid|s1paid|s1particle|s1pcid|s1pplacement|search_track_url|segment|subid|utm_source,,,3
click_track_url|fbclick|fbid|forceKeyA|forceKeyB|forceKeyC|forceKeyD|forceKeyE|forceKeyF|headline|impression_track_url|nonrevsubid|s1padid|s1pagid|s1paid|s1particle|s1pcid|s1pplacement|search_track_url|segment|subid|utm_source, eligibility," and conditions differ by company. Learn more for general details. 
 Phone promotions linked to new plans are available from some providers. Policies"," and conditions differ by company. Learn more for general details.""",,1
a3d8bWVkaWFf,,kw|media_source|pixelId|styleId|sub1|sub2|sub3|the|utm_source,,,33
a3d8bWVkaWFf,,kw|media_source|pixelId|styleId|the|utm_source,,,14
kw|media_source|pixelId|styleId|sub1|sub2|sub3|the|utm_source, Certified,"""Skilled"," and Paid: Everything You Need to Know About Paid CNA Training 
 learn more 
 https://goo.su/IfjjS""",CNA training,1
YWRfaWR8ZmJj,,ad_id|fbclick|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,,,536
YWRfaWR8Y2xp,,ad_id|clickid|fbclick|fbclid|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,,,53
" seriously — here’s how to claim yours. 
 https://everydaysolutions.pro""","""$1"," seriously — here’s how to claim yours.""","800 Phone Now Free 
 This $1",800 foldable phone is now FREE with select plans 📱🔥 No,6
ad_id|fbclick|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source, safe,"""Smart SUVs for Smart Seniors 
 🚗 These small SUVs are smart"," and easy to drive—perfect for seniors who know value matters. 
 everydaysolutions.pro""",,3
ad_id|fbclick|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source, safety,"""Best SUVs for Drivers 65+ 
 🚙 Seniors are choosing SUVs that prioritize comfort"," and effortless entry—discover which models top the list. 
 everydaysolutions.pro""",,3
YXNpZHxkZXxw,,asid|de|pub|q|rac|sclid|sko,,,8
dG9wLmRhaWx5,,,,,4
dGhlZXh0cmF0,,,,,42
" no hidden fees. You can do the same right now. Tap below to see if you qualify before this offer ends. 
 infocraver.com""","""$1"," no hidden fees.""","000 Cash—No Deposit Needed 
 My friend opened a new account and got $1",000 in days—no tricks,1
cmVhZC5taW5k,,,,,68
c2VhcmNoLmtu,,,,,35
YWRfaWR8ZmJj,,ad_id|fbclick|fbclid|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,,,45
bmV3Lmxpc3Qt,,,,,80
" zero pressure
This isn’t a maybe. It’s your ONLY chance to upgrade your mouth for GOOD.
🚨 Don’t wait—these FREE spots are vanishing fast. Tap NOW or miss out forever! 
 www.seeknowguides.com"""," natural-looking teeth that never move or cause pain
🔥 Stop feeling embarrassed—own your smile and live without limits
🔥 Take back your confidence"," and ruin your smile? Enough is enough!
🔥 Get permanent", your bite," your life—starting today
🔥 FREE dental implants consultation with zero tricks",19
Y2VwfGxwdG9r,,cep|lptoken,,,4
cmVhZC53b3Js,,,,,4
